Monika,Szymczak,1,1,6,30,25
Mateusz,Szulc,0,3,13,2,48
Bartosz,Baranowski,0,6,33,33,27
Tomasz,Laskowski,0,9,38,21,18
Marek,Brzeziński,0,2,27,11,1
Kamil,Makowski,0,1,7,28,46
Sylwester,Ziółkowski,0,7,0,14,10
Mirosław,Przybylski,0,2,46,26,24
Łukasz,Domański,0,5,26,47,4
Jakub,Nowacki,0,4,22,42,8
Rafał,Borowski,0,4,7,16,16
Marta,Błaszczyk,1,7,27,17,27
Damian,Chojnacki,0,1,37,40,31
Maciej,Ciesielski,0,4,5,12,28
Kasia,Mróz,1,9,37,6,23
Krzysztofa,Szczepaniak,1,7,42,5,41
Adrian,Wesołowski,0,2,20,15,33
Mariusz,Górecki,0,2,24,28,34
Agnieszka,Krupa,1,6,33,3,48
Kasia,Kaczmarczyk,1,6,42,38,39
Szymon,Leszczyński,0,5,14,10,34
Piotr,Lipiński,0,2,36,4,9
Tomasz,Kowalewski,0,5,0,43,31
Natalia,Urbaniak,1,3,36,32,41
Sylwia,Kozak,1,3,27,4,25
Joanna,Kania,1,4,38,19,41
Michał,Mikołajczyk,0,7,15,10,5
Tomasz,Czajkowski,0,2,25,31,22
Edyta,Mucha,1,6,48,7,14
Ewa,Tomczak,1,8,33,48,4
Krzysztofa,Kozioł,1,4,50,29,4
Wiktor,Markowski,0,9,18,36,45
Kasia,Kowalik,1,2,5,20,3
Rafał,Nawrocki,0,4,21,24,8
Wiktor,Brzozowski,0,3,3,41,42
Magdalena,Janik,1,1,8,25,11
Karolina,Musiał,1,4,44,4,14
Tomasz,Wawrzyniak,0,9,42,25,36
Anna,Markiewicz,1,7,21,5,42
Sebastian,Orłowski,0,4,1,0,6
EMilia,Tomczyk,1,9,38,29,32
Kasia,Jarosz,1,3,10,5,20
Kaja,Kołodziejczyk,1,3,18,29,10
Kasia,Kurek,1,1,37,37,35
Magdalena,Kopeć,1,3,8,11,16
Beata,Żak,1,9,42,49,7
Adrian,Wolski,0,7,34,9,0
Monika,Łuczak,1,3,4,32,0
Paulina,Dziedzic,1,9,35,31,2
Joanna,Kot,1,8,5,7,16
Marta,Stasiak,1,4,14,38,19
Mateusz,Stankiewicz,0,1,10,47,33
Justyna,Piątek,1,1,10,36,29
Agnieszka,Jóźwiak,1,6,30,20,24
Marta,Urban,1,1,31,19,0
Marcin,Dobrowolski,0,6,7,15,27
Agnieszka,Pawlik,1,8,29,38,11
Sandra,Kruk,1,2,8,16,12
Katarzyna,Domagała,1,9,5,35,20
Rafał,Piasecki,0,5,34,6,37
Piotr,Wierzbicki,0,9,19,20,39
Jarosław,Karpiński,0,9,30,49,28
Mariusz,Jastrzębski,0,4,12,40,33
Kamila,Polak,1,9,7,36,29
Małgorzata,Ignaczak,1,8,13,46,48
Dominika,Franc,1,5,2,14,14
Mariusz,Ignaczewski,0,5,5,36,29
Joanna,Erazmus,1,6,45,40,5
Anna,Ignaczuk,1,6,30,0,41
Marcin,Ignaczyński,0,7,50,1,15
