Id_studenta;Imie;Nazwisko;Uczelnia;Miejsce_zam;Rok_studiow;Dochod_na_osobe
38;Janusz;Figielski;Uniwersytet Królewski;Tomaszów Lubelski 95-084;I;2223
39;Henryk;Klosinski;Uniwersytet Muzyczny;Rabka 30-698;I;1611
40;Krzysztof;Dyszy;Uniwersytet Ekonomiczny;Rybnik 24-983;I;2898
41;Barbara;Szelest;Uniwersytet Królewski;Mys³owice 13-220;I;1666
42;Monika;Chojecka;Uniwersytet Królewski;Ko³baskowo 95-186;I;2124
43;Elzbieta;Jandura;Uniwersytet Królewski;Nysa 72-297;V;1552
44;Roman;Aron;Uniwersytet Królewski;D³ugopole-Zdrój 07-772;I;997
45;Joanna;Lodziarz;Uniwersytet Królewski;Lêdziny 27-535;I;602
46;Martyna;Bobrowska;Politechnika Królewska;I³awa 70-459;III;1263
47;Dominik;Zagajewski;Politechnika Informatyczno-Elektroniczna;Sosnowiec 14-721;V;448
48;Marianna;Lyszkowska;Politechnika Królewska;Terespol 22-593;I;2334
49;Anna;Tabor;Politechnika Informatyczno-Elektroniczna;Czêstochowa 86-116;I;1777
50;Marek;Frymarkiewicz;Politechnika Informatyczno-Elektroniczna;Wêgorzewo 67-547;I;1712
51;Gerard;Graczynski;Uniwersytet Pedagogiczny;RogoŸnik 74-768;I;1573
52;Stefan;Skoczkowski;Uniwersytet Królewski;Sosnowiec 14-721;II;2279
53;Gabriela;Kawka;Uniwersytet Sportu i Turystyki;Bezledy 75-057;II;2273
54;Klementyna;Bobkowicz;Uniwersytet Królewski;Zawiercie 58-922;III;3056
55;Artur;Bartoszewicz;Uniwersytet Sportu i Turystyki;S³awków 42-081;I;2177
56;Michal;Grzesiak;Politechnika Informatyczno-Elektroniczna;Wroc³aw 62-182;V;2239
57;Ewelina;Korpet;Uniwersytet Królewski;Ustroñ 51-637;V;2204
58;Radomila;Bojka;Uniwersytet Sportu i Turystyki;Lêdziny 27-535;III;1403
59;Maciej;Drozdzik;Politechnika Informatyczno-Elektroniczna;Szczyrk 75-361;V;1142
60;Jerzy;Przybylski;Uniwersytet Sportu i Turystyki;Œwiêtoch³owice 38-932;I;979
61;Hanna;Baron;Politechnika Królewska;Jas³o 92-050;I;2509
62;Teresa;Bajerska;Uniwersytet Sportu i Turystyki;Tworóg 62-560;II;3010
63;Danuta;Bednar;Politechnika Królewska;¯ywiec 00-137;I;1933
64;Boguslawa;Keta;Politechnika Królewska;Bêdzin 69-501;II;3013
65;Beata;Grabowska;Politechnika Informatyczno-Elektroniczna;Ogrodzieniec 82-082;V;2838
66;Stefania;Zakrzewska;Politechnika Informatyczno-Elektroniczna;Sucha Beskidzka 98-902;II;420
67;Anna;Barcikowska;Politechnika Informatyczno-Elektroniczna;Lubaczów 60-915;I;3099
68;Tadeusz;Holski;Politechnika Królewska;Soœnicowice 15-658;II;1945
69;Aleksandra;Drabicka;Uniwersytet Królewski;Cieszyn 68-101;I;2163
70;Igor;Krynicki;Politechnika Informatyczno-Elektroniczna;Rajcza 18-286;I;1248
71;Boleslaw;Ludziejewski;Politechnika Informatyczno-Elektroniczna;Nowy Targ 84-043;I;2979
72;Danuta;Wojciechowska;Uniwersytet Królewski;Bêdzin 69-501;V;1298
73;Katarzyna;Kausek;Uniwersytet Pedagogiczny;Strzelce Opolskie 60-596;I;847
74;Maria;Swoboda;Politechnika Królewska;Leszno 90-272;I;1032
75;Witold;Basik;Politechnika Informatyczno-Elektroniczna;Dêbica 53-306;II;2428
76;Brygida;Mika;Politechnika Królewska;Tarnobrzeg 85-266;IV;562
77;Mariola;Barszczon;Uniwersytet Pedagogiczny;Oœwiêcim 27-702;I;2664
78;Karina;Wozniak;Politechnika Informatyczno-Elektroniczna;Bielsk Podlaski 96-087;V;2485
79;Michal;Kostrzewa;Politechnika Informatyczno-Elektroniczna;Katowice 72-241;III;2267
80;Artur;Duszczyk;Politechnika Informatyczno-Elektroniczna;Zawiercie 58-922;I;715
81;Nikodem;Nowicki;Uniwersytet Sportu i Turystyki;Jejkowice 67-738;V;1703
82;Jadwiga;Borek;Uniwersytet Królewski;Na³êczów 83-630;V;1634
83;Jaroslaw;Firek;Uniwersytet Rolniczy;Jas³o 92-050;IV;2697
84;Grzegorz;Podsiadly;Uniwersytet Sportu i Turystyki;Œwiêtoch³owice 38-932;I;1454
85;Wawrzyniec;Kalinowski;Uniwersytet Królewski;Ogrodzieniec 82-082;V;875
86;Boleslaw;Drozdz;Uniwersytet Królewski;Poraj 80-436;I;1233
87;Korneliusz;Gajos;Politechnika Królewska;Otmuchów 69-204;II;1517
88;Agnieszka;Muszynska;Uniwersytet Królewski;D¹browa Górnicza 75-727;I;795
89;Alicja;Bankowska;Uniwersytet Królewski;Œwiêtoch³owice 38-932;I;2913
90;Barbara;Boronowska;Akademia Sztuk Piêknych;Kielce 04-274;I;874
91;Ireneusz;Pazdziernik;Politechnika Królewska;Koszalin 36-759;II;2759
92;Maciej;Golec;Politechnika Informatyczno-Elektroniczna;Halinów 33-056;II;1906
93;Maciej;Slomczynski;Uniwersytet Królewski;Nowy Targ 84-043;I;710
94;Tymon;Czarna;Politechnika Królewska;Monki 32-544;IV;1051
95;Janina;Lina;Politechnika Informatyczno-Elektroniczna;Racibórz 00-355;I;2968
96;Kaja;Kalwas;Uniwersytet Królewski;Nowy S¹cz 62-813;II;1600
97;Anna;Pulka;Uniwersytet Królewski;Jaworzno 98-650;I;1600
98;Waclawa;Kasperek;Politechnika Informatyczno-Elektroniczna;Grudzi¹dz 43-210;II;2710
99;Cezary;Karpowicz;Politechnika Informatyczno-Elektroniczna;Ogrodzieniec 82-082;I;2993
100;Malgorzata;Balcerzak;Politechnika Informatyczno-Elektroniczna;Jaworzynka 56-921;I;748
101;Kacper;Wosik;Politechnika Informatyczno-Elektroniczna;Krapkowice 94-560;I;2343
102;Stefan;Biegajski;Politechnika Informatyczno-Elektroniczna;Bielsk Podlaski 96-087;II;1837
103;Tomasz;Jasak;Uniwersytet Królewski;Przemyœl 38-959;III;923
104;Witold;Barylkiewicz;Uniwersytet Ekonomiczny;Racibórz 00-355;II;632
105;Michal;Bilski;Politechnika Informatyczno-Elektroniczna;Kêdzierzyn-KoŸle 81-133;II;2807
106;Kazimierz;Sycowski;Uniwersytet Rolniczy;Nowy Targ 84-043;I;2331
107;Marcin;Bacz;Uniwersytet Pedagogiczny;Gorzów Wielkopolski 78-003;I;2973
108;Jolanta;Czubacka;Politechnika Informatyczno-Elektroniczna;Oœwiêcim 27-702;I;2385
109;Andrzej;Jurkowski;Politechnika Informatyczno-Elektroniczna;Szczyrk 75-361;IV;1487
110;Ireneusz;Alotek;Politechnika Informatyczno-Elektroniczna;Mys³owice 13-220;I;3140
111;Janusz;Judycki;Uniwersytet Ekonomiczny;Kruszwica 33-294;I;1361
112;Grazyna;Pawlowska;Politechnika Królewska;Halinów 33-056;V;2799
113;Adam;Sliz;Politechnika Królewska;Piwniczna-Zdrój 09-592;I;1077
114;Damian;Bawicz;Politechnika Królewska;Kety 36-844;I;1161
115;Bronislawa;Wegrzyn;Politechnika Królewska;Radom 43-586;IV;2404
116;Jaromir;Gonczyk;Politechnika Informatyczno-Elektroniczna;Radom 43-586;III;2523
117;Amadeusz;Toborek;Politechnika Królewska;Jêdrzejów 62-049;II;2469
118;Jakub;Socha;Uniwersytet Rolniczy;Kielce 04-274;I;2025
119;Katarzyna;Dwornik;Politechnika Informatyczno-Elektroniczna;Siewierz 65-885;I;2745
120;Celina;Wisniewska;Politechnika Informatyczno-Elektroniczna;Tarnów 87-348;I;822
121;Konstancja;Raszyn;Politechnika Informatyczno-Elektroniczna;Gorki Male 36-984;II;2946
122;Edyta;Tomczyk;Uniwersytet Królewski;Dêblin 53-807;II;2384
123;Jerzy;Semeniuk;Politechnika Królewska;Zabrze 91-525;I;1482
124;Helena;Maczynska;Uniwersytet Królewski;Monki 32-544;I;2171
125;Jaroslaw;Bajda;Politechnika Informatyczno-Elektroniczna;K³omnice 43-045;I;1182
126;Klemens;Rokosz;Politechnika Królewska;Chy¿ne 76-235;I;667
127;Jakub;Wtorek;Politechnika Królewska;Chorzów 97-545;V;3263
128;Adrianna;Brzezinska;Politechnika Królewska;Sosnowiec 14-721;III;2913
129;Karol;Binski;Politechnika Królewska;Wadowice 47-222;I;2497
130;Iwona;Nyska;Uniwersytet Królewski;Katowice 72-241;I;2169
131;Cecylia;Czylok;Uniwersytet Królewski;Kêdzierzyn-KoŸle 81-133;I;828
132;Mateusz;Antoniak;Politechnika Królewska;Bytom 80-339;I;2699
133;Adam;Kaleta;Uniwersytet Królewski;Mys³owice 13-220;I;1446
134;Michal;Salacinski;Politechnika Informatyczno-Elektroniczna;Lublin 79-726;II;1608
135;Krzysztof;Krzesinski;Uniwersytet Rolniczy;Kety 36-844;I;2586
136;Zofia;Gorajska;Politechnika Królewska;Olkusz 19-255;II;2428
137;Janusz;Aleksandrowicz;Politechnika Informatyczno-Elektroniczna;Gdynia 13-179;I;2701
138;Danuta;Zasada;Politechnika Informatyczno-Elektroniczna;Nowy S¹cz 62-813;I;525
139;Aleksander;Rutkowski;Politechnika Informatyczno-Elektroniczna;Zakopane 00-995;IV;560
140;Karina;Mikolajczak;Politechnika Informatyczno-Elektroniczna;Kruszwica 33-294;I;642
141;Aleksy;Pobereznik;Politechnika Informatyczno-Elektroniczna;Jaworzno 98-650;III;3152
142;Beata;Domnicz;Politechnika Królewska;Dzier¿oniów 87-324;V;3177
143;Juliusz;Blazowski;Politechnika Informatyczno-Elektroniczna;Brañsk 29-325;IV;3144
144;Kacper;Stachowicz;Uniwersytet Królewski;Sucha Beskidzka 98-902;II;775
145;Paulina;Lewinska;Uniwersytet Królewski;Przemyœl 38-959;I;714
146;Krzysztof;Wroblewski;Politechnika Informatyczno-Elektroniczna;Piotrków Trybunalski 04-419;I;919
147;Jan;Bieniek;Uniwersytet Królewski;RogoŸnik 74-768;I;805
148;Magdalena;Wawrzyn;Politechnika Informatyczno-Elektroniczna;Lêdziny 27-535;I;1189
149;Marek;Bakucha;Akademia Sztuk Piêknych;Szczyrk 75-361;I;3313
150;Teofil;Chudy;Politechnika Informatyczno-Elektroniczna;Miko³ów 96-497;II;2530
151;Krzysztof;Rosiewicz;Politechnika Królewska;Ogrodzieniec 82-082;I;680
152;Mikolaj;Jozwiak;Politechnika Królewska;Giera³towice 04-834;I;1880
153;Olga;Berus;Politechnika Informatyczno-Elektroniczna;Jaworzynka 56-921;I;2791
154;Halina;Haczyk;Uniwersytet Królewski;Pszczyna 53-858;V;3243
155;Sebastian;Lewandowski;Uniwersytet Ekonomiczny;Sosnowiec 14-721;II;1434
156;Barbara;Kotwicka;Uniwersytet Królewski;£êczyca 16-385;V;2308
157;Jerzy;Bolkowicz;Politechnika Królewska;Rybnik 24-983;I;2451
158;Michal;Wojciechowski;Politechnika Informatyczno-Elektroniczna;Œwiecko 47-842;V;2423
159;Inga;Barskacz;Politechnika Informatyczno-Elektroniczna;S³awków 42-081;I;2848
160;Jerzy;Lubec;Politechnika Informatyczno-Elektroniczna;S³awków 42-081;I;1599
161;Malgorzata;Szulim;Politechnika Informatyczno-Elektroniczna;Dêbowiec 36-478;I;1899
162;Marcin;Hebda;Politechnika Informatyczno-Elektroniczna;Rabka 30-698;I;2725
163;Andrzej;Wieczorek;Politechnika Królewska;Sanok 71-890;III;2555
164;Jan;Babul;Uniwersytet Królewski;¯ywiec 00-137;I;2720
165;Kinga;Myszograj;Politechnika Królewska;Pszczyna 53-858;IV;2155
166;Grazyna;Chrust;Politechnika Informatyczno-Elektroniczna;Czêstochowa 86-116;I;792
167;Dorota;Pietrowicz;Politechnika Informatyczno-Elektroniczna;Wadowice 47-222;I;1071
168;Hanna;Wrona;Politechnika Informatyczno-Elektroniczna;Szczekociny 66-008;V;1493
169;Janusz;Wysocki;Uniwersytet Rolniczy;Chorzów 97-545;I;1191
170;Adam;Baryla;Politechnika Królewska;Ciechocinek 98-839;I;1347
171;Szymon;Duda;Uniwersytet Królewski;Zabrodzie 71-608;I;1160
172;Anna;Bialowas;Uniwersytet Pedagogiczny;Szczekociny 66-008;I;1544
173;Grzegorz;Szlachcic;Politechnika Królewska;Olkusz 19-255;II;2675
174;Kuba;Hauser;Politechnika Informatyczno-Elektroniczna;Mys³owice 13-220;IV;2481
175;Dariusz;Adamus;Politechnika Informatyczno-Elektroniczna;Debrzno 03-065;I;813
176;Franciszek;Bielanski;Politechnika Królewska;Ogrodzieniec 82-082;IV;3125
177;Adam;Konopka;Uniwersytet Królewski;Rybnik 24-983;V;1489
178;Monika;Lawrynowicz;Uniwersytet Królewski;Nowy Targ 84-043;I;2835
179;Kacper;Fastnacht;Politechnika Informatyczno-Elektroniczna;Œwiêtoch³owice 38-932;I;998
180;Roman;Persinski;Politechnika Informatyczno-Elektroniczna;Gliwice 11-608;II;1431
181;Piotr;Kuter;Uniwersytet Królewski;Sosnowiec 14-721;I;738
182;Wojciech;Kujdowicz;Uniwersytet Królewski;Legnica 58-930;V;2637
183;Angelika;Merak;Politechnika Królewska;¯ywiec 00-137;II;415
184;Anna;Owsianka;Politechnika Informatyczno-Elektroniczna;Lwówek Sl¹ski 11-782;III;429
185;Walery;Szurkowski;Uniwersytet Pedagogiczny;Brzeg Dolny 14-287;IV;352
186;Karol;Kopycki;Uniwersytet Królewski;Chorzów 97-545;I;794
187;Franciszek;Szombierski;Akademia Sztuk Piêknych;Wolbrom 46-174;III;698
188;Ewelia;Michaliska;Politechnika Informatyczno-Elektroniczna;Zakopane 00-995;I;2309
189;Kacper;Slawinski;Uniwersytet Rolniczy;Kêdzierzyn-KoŸle 81-133;III;1901
190;Ewelina;Hassan;Uniwersytet Królewski;Kleszczów 18-459;V;2767
191;Arkadiusz;Godowski;Uniwersytet Królewski;Bia³ystok 54-632;II;1845
192;Tymon;Czarnecki;Politechnika Królewska;Miêdzyrzecze 28-079;II;2025
193;Alina;Batorek;Uniwersytet Rolniczy;Pszczyna 53-858;I;1309
194;Michal;Prazuch;Politechnika Informatyczno-Elektroniczna;Kielce 04-274;V;2534
195;Czeslaw;Kos;Uniwersytet Sportu i Turystyki;Ogrodzieniec 82-082;I;1980
196;Jan;Sikorski;Politechnika Informatyczno-Elektroniczna;Soœnicowice 15-658;I;2217
197;Teresa;Polaska;Politechnika Informatyczno-Elektroniczna;Warszawa 83-294;II;2771
198;Damian;Kulesza;Uniwersytet Królewski;Rabka 30-698;I;2883
199;Robert;Chochol;Uniwersytet Królewski;Kleszczów 18-459;II;1680
200;Anna;ocon;Politechnika Królewska;Myszków 91-786;III;3019
201;Maria;Wolczynska;Uniwersytet Królewski;Strzelce Opolskie 60-596;I;1862
202;Piotr;Bros;Uniwersytet Królewski;Miko³ów 96-497;V;2849
203;Arkadiusz;Bracki;Uniwersytet Ekonomiczny;Kêdzierzyn-KoŸle 81-133;V;2665
204;Krzysztof;Checinski;Politechnika Królewska;Bydgoszcz 29-199;I;2484
205;Wiktor;Gorecki;Politechnika Królewska;Pyrzowice 49-345;II;3274
206;Malgorzata;Stojecka;Akademia Sztuk Piêknych;Bêdzin 69-501;I;2932
207;Karolina;Anuszewska;Politechnika Królewska;Wolbrom 46-174;I;1973
208;Janusz;Chmielowski;Uniwersytet Sportu i Turystyki;Rybnik 24-983;I;2349
209;Zofia;Bujak;Uniwersytet Rolniczy;Ogrodzieniec 82-082;II;2484
210;Marek;Lichwa;Politechnika Informatyczno-Elektroniczna;Hrebenne 37-873;V;2321
211;Bozena;Symanska;Uniwersytet Sportu i Turystyki;Zawiercie 58-922;III;873
212;Zofia;Cedrowska;Uniwersytet Królewski;Jêdrzejów 62-049;II;805
213;Beata;Kowalczyk;Politechnika Informatyczno-Elektroniczna;Bêdzin 69-501;V;2191
214;Bartlomiej;Stec;Uniwersytet Królewski;Bielsk Podlaski 96-087;I;1453
215;Katarzyna;Schmidt;Politechnika Informatyczno-Elektroniczna;Mys³owice 13-220;IV;2151
216;Stefania;Stolowska;Politechnika Królewska;Koœcian 26-594;II;2867
217;Adam;Rabka;Uniwersytet Królewski;Radom 43-586;I;510
218;Maciej;Mijak;Uniwersytet Rolniczy;Katowice 72-241;V;2408
219;Piotr;Swiezy;Uniwersytet Królewski;Mys³owice 13-220;II;558
220;Adrianna;Gorska;Politechnika Informatyczno-Elektroniczna;Che³m 37-997;IV;719
221;Beata;Mikolajczyk;Uniwersytet Muzyczny;Otmuchów 69-204;I;2862
222;Maciej;Buzek;Uniwersytet Królewski;KuŸnica Bia³ostocka 81-042;V;1311
223;Katarzyna;Sokolowska;Uniwersytet Królewski;Zakopane 00-995;III;2656
224;Jerzy;Kielski;Uniwersytet Królewski;¯ory 29-724;I;1258
225;Roman;Dusza;Politechnika Królewska;Chorzów 97-545;V;838
226;Agnieszka;Korandy;Uniwersytet Ekonomiczny;Tarnobrzeg 85-266;I;3222
227;Joanna;Dymna;Uniwersytet Sportu i Turystyki;Chorzów 97-545;I;2137
228;Urszula;Legnicka;Politechnika Informatyczno-Elektroniczna;Sopot 77-187;II;468
229;Krystyna;Sekocinska;Uniwersytet Królewski;Terespol 22-593;I;979
230;Aureliusz;Dabrowski ;Politechnika Informatyczno-Elektroniczna;Tarnobrzeg 85-266;II;2910
231;Jerzy;Bargiel;Politechnika Informatyczno-Elektroniczna;Rajcza 18-286;I;898
232;Tomasz;Broniarz;Politechnika Informatyczno-Elektroniczna;Sopot 77-187;III;1123
233;Lucyna;Sokolowska;Uniwersytet Królewski;Kêpice 66-251;I;2980
234;Luiza;Pawlak;Politechnika Królewska;¯ory 29-724;II;1904
235;Weronika;Stroka;Politechnika Królewska;Ruda Sl¹ska 12-684;II;2180
236;Walenty;Kaczor;Uniwersytet Sportu i Turystyki;Wis³a 99-436;II;520
237;Szymon;Figurski;Uniwersytet Królewski;Tworóg 62-560;II;1496
238;Jadwiga;Grobelny;Politechnika Królewska;¯ory 29-724;III;2635
239;Piotr;Nowicki;Politechnika Informatyczno-Elektroniczna;G³ucho³azy 30-136;IV;1121
240;Franciszek;Bebenek;Uniwersytet Królewski;Tworóg 62-560;I;2572
241;Anna;Trzebnicka;Akademia Sztuk Piêknych;Olkusz 19-255;I;1151
242;Adam;Witczak;Uniwersytet Królewski;Bêdzin 69-501;III;735
243;Natalia;Chlopecka;Politechnika Królewska;Piwniczna-Zdrój 09-592;I;2101
244;Jacek;Andrzejewski;Uniwersytet Królewski;Ruda Sl¹ska 12-684;III;2241
245;Agnieszka;Malbolrska;Politechnika Królewska;Chy¿ne 76-235;I;2814
246;Karolina;Rosiak;Uniwersytet Królewski;Gliwice 11-608;I;1417
247;Aneta;Klucha;Uniwersytet Królewski;D¹browa Górnicza 75-727;I;1165
248;Bartosz;Adamiec;Politechnika Królewska;Koniaków 34-607;I;2668
249;Piotr;Garncarz;Uniwersytet Królewski;Brzeg Dolny 14-287;III;863
250;Kamil;Dabrowski;Politechnika Informatyczno-Elektroniczna;Chorzów 97-545;I;749
251;Marek;Majchrowicz;Politechnika Królewska;Lubliniec 14-322;I;2405
252;Olgierd;Dudzinski;Uniwersytet Królewski;Poznañ 40-853;I;3136
253;Anna;Sawiciak;Uniwersytet Ekonomiczny;Wolbrom 46-174;I;2285
254;Paulina;Raszczyk;Uniwersytet Królewski;Dêblin 53-807;I;2678
255;Fryderyka;Slowik;Politechnika Informatyczno-Elektroniczna;Zgorzelec 79-972;IV;438
256;Mieszko;Cisna;Uniwersytet Królewski;Sosnowiec 14-721;II;3313
257;Janusz;Waz;Uniwersytet Ekonomiczny;Tarnobrzeg 85-266;I;2917
258;Wojciech;Bugaj;Politechnika Informatyczno-Elektroniczna;Ruda Sl¹ska 12-684;I;2657
259;Marcin;Slomczynski;Uniwersytet Królewski;Soœnicowice 15-658;II;1869
260;Franciszek;Laczynski;Uniwersytet Królewski;Wadowice 47-222;V;2881
261;Korneliusz;Adamecki;Wy¿sza Szko³a Techniczna;Sucha Beskidzka 98-902;III;1726
262;Wawrzyniec;Kozina;Politechnika Informatyczno-Elektroniczna;Gdañsk 83-271;I;2700
263;Pawel;Wojcicki;Uniwersytet Królewski;Rajcza 18-286;V;1981
264;Klemens;Radzik;Uniwersytet Królewski;Lublin 79-726;II;672
265;Karol;Mazurowski;Uniwersytet Królewski;Wojkowice 84-273;IV;719
266;Krzysztof;Antczak;Uniwersytet Ekonomiczny;Giera³towice 04-834;I;2472
267;Jerzy;Orowski;Politechnika Królewska;Wis³a 99-436;III;796
268;Alicja;Kobus;Politechnika Informatyczno-Elektroniczna;Rajcza 18-286;I;2409
269;Adam;Michalak;Uniwersytet Pedagogiczny;Soœnicowice 15-658;I;1259
270;Norbert;Boronski;Politechnika Informatyczno-Elektroniczna;Wadowice 47-222;I;1317
271;Seweryn;Wawa;Politechnika Informatyczno-Elektroniczna;Kostrzyn 22-864;IV;1309
272;Renata;Kaluza;Uniwersytet Rolniczy;KuŸnia Raciborska 78-122;II;2790
273;Ewa;Berak;Uniwersytet Królewski;Gorki Male 36-984;I;2110
274;Marcin;Bajdak;Politechnika Królewska;Tarnów 87-348;I;2485
275;Iwona;Wegier;Politechnika Informatyczno-Elektroniczna;Zawiercie 58-922;I;1344
276;Franciszek;Kusch;Uniwersytet Pedagogiczny;Dêblin 53-807;V;1802
277;Lukasz;Klos;Uniwersytet Królewski;Miko³ajki 83-977;III;2482
278;Karolina;Weiss;Politechnika Informatyczno-Elektroniczna;Legnica 58-930;I;871
279;Tadeusz;Regulski;Politechnika Informatyczno-Elektroniczna;Gryfice 51-783;I;1075
280;Beata;Jasinska;Uniwersytet Rolniczy;Siemianowice Sl¹skie 09-006;I;968
281;Aleksander;Ogonowski;Uniwersytet Rolniczy;Koniaków 34-607;I;1229
282;Eleonora;Kosa;Politechnika Informatyczno-Elektroniczna;Sanok 71-890;I;455
283;Adrian;Baka;Politechnika Informatyczno-Elektroniczna;Ruda Sl¹ska 12-684;I;3195
284;Czeslawa;Bochenek;Politechnika Królewska;Ogrodniki 14-095;I;1883
285;Tomasz;Leganowski;Politechnika Królewska;Bielsk Podlaski 96-087;IV;2018
286;Sebastian;Adalewski;Akademia Sztuk Piêknych;Chalupki 70-071;II;2821
287;Bronislawa;Chmielewska;Uniwersytet Rolniczy;G³ubczyce 65-458;IV;2931
288;Daria;Dyrbusz;Uniwersytet Królewski;Alwernia 27-938;I;1779
289;Olga;Gonerska;Uniwersytet Królewski;Lêdziny 27-535;I;1990
290;Radoslaw;Niedziela;Politechnika Królewska;Rabka 30-698;II;2283
291;Arkadiusz;Sokolowski;Politechnika Królewska;Bytom 80-339;I;1964
292;Zofia;Bylska;Akademia Sztuk Piêknych;Dzier¿oniów 87-324;II;1822
293;Slawomir;Rojek;Uniwersytet Królewski;P³ock 04-688;III;1093
294;Robert;Pilski;Politechnika Informatyczno-Elektroniczna;Ruda Sl¹ska 12-684;II;1756
295;Janina;Bernacik;Uniwersytet Ekonomiczny;Katowice 72-241;I;2356
296;Mateusz;Swierszczynski;Uniwersytet Rolniczy;Ustroñ 51-637;V;3080
297;Tomasz;Wan;Uniwersytet Królewski;Bochnia 89-362;II;1258
298;Alicja;Miskowiec;Politechnika Informatyczno-Elektroniczna;Koniaków 34-607;V;2730
299;Piotr;Piwnik;Politechnika Królewska;Katowice 72-241;I;1592
300;Jan;Bator;Politechnika Królewska;Katowice 72-241;I;2738
301;Eleonora;Mrowka;Politechnika Informatyczno-Elektroniczna;KuŸnia Raciborska 78-122;I;2064
302;Andrzej;Beki;Politechnika Królewska;Tychy 76-939;I;465
303;Boleslawa;Kucharska;Uniwersytet Królewski;Gliwice 11-608;V;1291
304;Wojciech;Fujarewicz;Politechnika Informatyczno-Elektroniczna;Zabrze 91-525;II;2125
305;Iwona;Grzybek;Politechnika Królewska;Chorzów 97-545;I;787
306;Maria;Zwojec;Uniwersytet Królewski;Sosnowiec 14-721;I;2155
307;Mateusz;Kandora;Uniwersytet Królewski;Bêdzin 69-501;I;3218
308;Daniel;Barszcz;Uniwersytet Królewski;Sanok 71-890;I;2273
309;Teresa;Grudzinska;Uniwersytet Królewski;Œwiêtoch³owice 38-932;II;1283
310;Franciszka;Nowicka;Uniwersytet Królewski;Bytom 80-339;II;1863
311;Karolina;Bajerowicz;Uniwersytet Królewski;Na³êczów 83-630;I;1965
312;Barbara;Wszedobyl;Uniwersytet Pedagogiczny;Chalupki 70-071;I;1182
313;Izolda;Jaros;Politechnika Informatyczno-Elektroniczna;Jakuszyce 89-300;I;2207
314;Grazyna;Gorska;Politechnika Królewska;¯yrardów 51-006;V;1453
